Settlement Date,Dispatch Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
26/10/2025 12:40,-10.23,5239.58,2808.40448,1989.53552,-407.2,"ACTUAL"
26/10/2025 12:45,0.69,5435.05,2817.00331,2250.57669,-324.31,"ACTUAL"
26/10/2025 12:50,-0.38,5352.17,2745.0017,2208.8783,-371.03,"ACTUAL"
26/10/2025 12:55,20.12,5079.17,2813.99842,2092.29158,-111.61,"ACTUAL"
26/10/2025 13:00,-6.49975,5375.4,2703.00433,2094.27567,-528.84,"ACTUAL"
26/10/2025 13:05,-17.19,5013.15,2608.15577,2062.42423,-318.6,"ACTUAL"
26/10/2025 13:10,5.25212,5081.88,2548.00146,2231.49854,-255.74,"ACTUAL"
26/10/2025 13:15,-6.5,4741.82,2530.00452,1867.51548,-246.43,"ACTUAL"
26/10/2025 13:20,-8.38114,4758.58,2515.99649,1817.44351,-327.92,"ACTUAL"
26/10/2025 13:25,-6.5,4693.88,2517.00194,2000.04806,-73.5,"ACTUAL"
26/10/2025 13:30,-19.93,4595.34,2466.03352,1803.53648,-229.49,"ACTUAL"
26/10/2025 13:35,-26.839,4602.62,2413.45273,1737.46727,-369.58,"ACTUAL"
26/10/2025 13:40,-66.31,4537.65,2340.80327,1549.55673,-619.05,"ACTUAL"
26/10/2025 13:45,-33.67,4375.08,2365.00138,1744.44862,-254.24,"ACTUAL"
26/10/2025 13:50,-41.75866,4198.74,2314.62895,1852.10105,-9.14,"ACTUAL"
26/10/2025 13:55,-40.38616,4158.02,2295.00448,1752.58552,-96.5,"ACTUAL"
26/10/2025 14:00,-20.37,4014.33,2340.21691,1636.01309,68.98,"ACTUAL"
26/10/2025 14:05,-19.99,3983.55,2365.00009,1319.41991,-224.31,"ACTUAL"
26/10/2025 14:10,-81.97655,3885.94,2231.93541,890.81459,-716.78,"ACTUAL"
26/10/2025 14:15,-20.99,4003.4,2374.00334,1438.41666,-154.57,"ACTUAL"
26/10/2025 14:20,-19.93,4063.24,2365.004,1661.346,70.78,"ACTUAL"
26/10/2025 14:25,-47.67235,3949.51,2357.27889,1515.12111,14.26,"ACTUAL"
26/10/2025 14:30,-56.34365,3868.83,2295.00438,1428.26562,-66.11,"ACTUAL"
26/10/2025 14:35,-59.46,3799.64,2295.00129,1451.34871,13.74,"ACTUAL"
26/10/2025 14:40,-17.61444,3856.8,2347.9392,1608.6308,250.25,"ACTUAL"
26/10/2025 14:45,-34.79216,3835.12,2355.50278,1533.40722,234.91,"ACTUAL"
26/10/2025 14:50,-62.95,3790.44,2306.99982,1210.10018,-206.25,"ACTUAL"
26/10/2025 14:55,-61.39041,3962.5,2295.0014,1406.0686,-216.67,"ACTUAL"
26/10/2025 15:00,-46.9393,4191.34,2295.0047,1685.0753,-137.58,"ACTUAL"
26/10/2025 15:05,-33.36672,4451.89,2294.99785,1721.94215,-349.94,"ACTUAL"
26/10/2025 15:10,-36.16717,4488.08,2295.00196,1760.24804,-365.78,"ACTUAL"
26/10/2025 15:15,-39.13563,4561.39,2295.00423,1651.97577,-597.86,"ACTUAL"
26/10/2025 15:20,-6.5,4774.74,2342.99793,2074.28207,-293.91,"ACTUAL"
26/10/2025 15:25,-6.5,4742.56,2343.00003,1942.94997,-434.48,"ACTUAL"
26/10/2025 15:30,-10.69,4779.99,2342.9967,1958.8833,-442.51,"ACTUAL"
26/10/2025 15:35,-50.22,4799.99,2335.5585,1723.3515,-664.49,"ACTUAL"
26/10/2025 15:40,-35.53854,4766.98,2316.24743,1851.95257,-542.04,"ACTUAL"
26/10/2025 15:45,-50.22,4663.51,2295.0007,1783.0593,-569.06,"ACTUAL"
26/10/2025 15:50,-31.11991,4644.11,2347.0024,1811.7576,-465.43,"ACTUAL"
26/10/2025 15:55,-50.22,4553.19,2341.28033,1696.20967,-492.71,"ACTUAL"
26/10/2025 16:00,-50.22,4563.85,2359.27733,1738.32267,-423.52,"ACTUAL"
26/10/2025 16:05,-59.46,4459.72,2353.56375,1713.77625,-364.23,"ACTUAL"
26/10/2025 16:10,-24.79093,4541.05,2375.2515,1787.4885,-349.44,"ACTUAL"
26/10/2025 16:15,-11.4,4602.3,2393.99802,2131.49198,11.21,"ACTUAL"
26/10/2025 16:20,-15.57953,4545.92,2394.00121,1911.59879,-186.34,"ACTUAL"
26/10/2025 16:25,-49.54247,4556.38,2355.40781,1731.60219,-446.26,"ACTUAL"
26/10/2025 16:30,-50.22,4579.44,2323.99935,1719.81065,-508.32,"ACTUAL"
26/10/2025 16:35,-23.74,4588.35,2390.68274,1760.91726,-390.65,"ACTUAL"
26/10/2025 16:40,-22.86033,4595.45,2401.00383,1702.41617,-455.74,"ACTUAL"
26/10/2025 16:45,-19.93,4726.93,2400.99879,1880.16121,-391.95,"ACTUAL"
26/10/2025 16:50,-19.93,4776.95,2407.0028,2022.8372,-288.68,"ACTUAL"
26/10/2025 16:55,-19.93,4789.6,2406.99859,2039.38141,-296.08,"ACTUAL"
26/10/2025 17:00,-13.66453,4775.43,2457.96845,2124.64155,-129.64,"ACTUAL"
26/10/2025 17:05,-41.44914,4719.37,2396.68717,2033.93283,-243.71,"ACTUAL"
26/10/2025 17:10,-6.49976,4860.04,2461.77655,2453.70345,164.22,"ACTUAL"
26/10/2025 17:15,-49.32101,4764.22,2389.56096,1964.22904,-349.72,"ACTUAL"
26/10/2025 17:20,-49.37528,4790.01,2372.28092,1937.70908,-416.75,"ACTUAL"
26/10/2025 17:25,-25.20074,4855.01,2413.00401,1911.00599,-452.11,"ACTUAL"
26/10/2025 17:30,-19.93,4862.53,2407.00099,1980.46901,-380.97,"ACTUAL"
26/10/2025 17:35,-8.19,4950.57,2474.36077,2161.22923,-229.65,"ACTUAL"
26/10/2025 17:40,46.73677,4972.31,2592.71679,2719.89321,488.49,"ACTUAL"
26/10/2025 17:45,8.95052,5007.77,2668.5956,2436.9844,223.97,"ACTUAL"
26/10/2025 17:50,0.00016,5052.78,2556.99753,2663.41247,276.72,"ACTUAL"
26/10/2025 17:55,51.19885,5135.47,2716.99656,2677.78344,389.7,"ACTUAL"
26/10/2025 18:00,14.70069,5201.07,2768.9952,2841.4148,580.21,"ACTUAL"
26/10/2025 18:05,40.43674,5198.84,2856.00086,2671.88914,477.97,"ACTUAL"
26/10/2025 18:10,60,5229.24,2951.08959,2622.08041,478.87,"ACTUAL"
26/10/2025 18:15,8.95,5222.99,2927.39928,2637.23072,479.72,"ACTUAL"
26/10/2025 18:20,60,5324.97,3029.78958,2585.84042,436.01,"ACTUAL"
26/10/2025 18:25,67,5327.74,3174.16969,2517.91031,502.17,"ACTUAL"
26/10/2025 18:30,67,5357.23,3256.14963,2517.07037,560.95,"ACTUAL"
26/10/2025 18:35,9.94333,5387.13,3184.99995,2618.48005,580.18,"ACTUAL"
26/10/2025 18:40,8.95,5332.38,3204.64017,2554.52983,569.93,"ACTUAL"
26/10/2025 18:45,8.95,5411.79,3332.09805,2517.90195,603.37,"ACTUAL"
26/10/2025 18:50,38.53216,5436.35,3395.00439,2488.34561,606.38,"ACTUAL"
26/10/2025 18:55,8.95,5427.16,3348.32413,2472.54587,553.4,"ACTUAL"
26/10/2025 19:00,8.95,5454.62,3342.08019,2477.08981,518.5,"ACTUAL"
26/10/2025 19:05,8.95,5427.99,3272.37079,2554.12921,573.31,"ACTUAL"
26/10/2025 19:10,8.95,5446.31,3274.12644,2594.88356,590.87,"ACTUAL"
26/10/2025 19:15,8.95,5453.38,3266.26294,2658.13706,632.62,"ACTUAL"
26/10/2025 19:20,8.95,5472.92,3307.75632,2693.60368,682.77,"ACTUAL"
26/10/2025 19:25,8.95,5463.78,3324.17204,2713.06796,722.67,"ACTUAL"
26/10/2025 19:30,8.95,5466.71,3367.6755,2679.3345,733.03,"ACTUAL"
26/10/2025 19:35,9.68854,5440.52,3397.72164,2625.85836,739.44,"ACTUAL"
26/10/2025 19:40,31.84877,5441.25,3492.99843,2505.11157,714.86,"ACTUAL"
26/10/2025 19:45,8.95,5430.93,3637.44299,2367.36701,732.57,"ACTUAL"
26/10/2025 19:50,18.48894,5421.91,3610.99524,2308.63476,657.9,"ACTUAL"
26/10/2025 19:55,22.26723,5351.82,3642.00148,2206.24852,652.61,"ACTUAL"
26/10/2025 20:00,25.8115,5336.03,3659.00128,2105.17872,583.51,"ACTUAL"
26/10/2025 20:05,21.58941,5327.79,3665.99789,2045.56211,550.65,"ACTUAL"
26/10/2025 20:10,8.95,5286.73,3651.36985,2056.25015,588.11,"ACTUAL"
26/10/2025 20:15,8.95,5256.24,3650.56765,2019.98235,559.16,"ACTUAL"
26/10/2025 20:20,0.01006,5219.82,3583.31236,2050.00764,570.49,"ACTUAL"
26/10/2025 20:25,8.95,5168.77,3657.44573,2033.62427,675.3,"ACTUAL"
26/10/2025 20:30,8.95,5171.3,3682.23153,2004.18847,667.17,"ACTUAL"
26/10/2025 20:35,38.47989,5119.17,3668.00467,1853.33533,543.05,"ACTUAL"
26/10/2025 20:40,8.95,5121.4,3685.55128,1816.63872,525.4,"ACTUAL"
26/10/2025 20:45,8.95,5054.66,3651.4114,1734.9586,465.87,"ACTUAL"
26/10/2025 20:50,34.49447,5092.57,3725.00334,1669.36666,467.79,"ACTUAL"
26/10/2025 20:55,8.95,5000.34,3658.26113,1673.45887,461.94,"ACTUAL"
26/10/2025 21:00,7.95026,4970.39,3623.75182,1688.54818,491.66,"ACTUAL"
26/10/2025 21:05,8.95,4905.83,3650.43669,1693.01331,606.98,"ACTUAL"
26/10/2025 21:10,8.95,4884.3,3653.36834,1723.17166,651.24,"ACTUAL"
26/10/2025 21:15,0.01006,4812,3593.30649,1745.62351,682.08,"ACTUAL"
26/10/2025 21:20,9.76339,4812.1,3563.00243,1761.03757,670.17,"ACTUAL"
26/10/2025 21:25,8.95,4765.4,3546.59509,1708.41491,651.1,"ACTUAL"
26/10/2025 21:30,35.52991,4778.47,3523.00191,1660.87809,570.15,"ACTUAL"
26/10/2025 21:35,8.95,4716.92,3434.83341,1613.21659,482.28,"ACTUAL"
26/10/2025 21:40,8.94948,4726.05,3430.61839,1562.50161,445.51,"ACTUAL"
26/10/2025 21:45,5.2,4584.73,3403.21221,1513.46779,475.97,"ACTUAL"
26/10/2025 21:50,29.26517,4629.21,3468.99954,1510.31046,528.07,"ACTUAL"
26/10/2025 21:55,25.12495,4549.14,3469.00329,1556.48671,639.45,"ACTUAL"
26/10/2025 22:00,8.94948,4533.96,3390.39255,1646.72745,669.41,"ACTUAL"
26/10/2025 22:05,4.96,4497.84,3269.70363,1693.37637,631.02,"ACTUAL"
26/10/2025 22:10,36.42178,4531.66,3336.00204,1668.13796,631.53,"ACTUAL"
26/10/2025 22:15,35.52991,4488.62,3343.00475,1643.47525,654.25,"ACTUAL"
26/10/2025 22:20,35.73867,4498.02,3376.00216,1588.65784,621.29,"ACTUAL"
26/10/2025 22:25,42.63391,4491.8,3376.0013,1481.2487,527.19,"ACTUAL"
26/10/2025 22:30,26.27554,4505.61,3375.99938,1477.62062,520.43,"ACTUAL"
26/10/2025 22:35,8.95,4500.96,3353.43396,1466.40604,485.26,"ACTUAL"
26/10/2025 22:40,21.57329,4476.5,3375.99875,1485.61125,557.46,"ACTUAL"
26/10/2025 22:45,35.40932,4484.5,3375.9988,1474.9412,536.98,"ACTUAL"
26/10/2025 22:50,35.47103,4392.68,3375.99526,1413.01474,558.7,"ACTUAL"
26/10/2025 22:55,8.95,4354.73,3337.60052,1412.84948,564.89,"ACTUAL"
26/10/2025 23:00,8.95,4382.66,3339.51103,1406.51897,533.35,"ACTUAL"
26/10/2025 23:05,8.95,4406.46,3283.95321,1452.26679,501.86,"ACTUAL"
26/10/2025 23:10,8.95,4554.12,3330.93173,1513.11827,461.98,"ACTUAL"
26/10/2025 23:15,8.95,4605.86,3296.50973,1527.91027,390.43,"ACTUAL"
26/10/2025 23:20,8.95,4552.37,3247.96778,1566.92222,438.83,"ACTUAL"
26/10/2025 23:25,8.95,4594.43,3257.10519,1643.88481,478.6,"ACTUAL"
26/10/2025 23:30,0.01006,4585.33,3173.1323,1672.3177,427.89,"ACTUAL"
26/10/2025 23:35,6.91044,4609.27,3141.99674,1739.28326,443.74,"ACTUAL"
26/10/2025 23:40,8.95,4540.51,3122.49308,1752.05692,498.63,"ACTUAL"
26/10/2025 23:45,8.95,4522.83,3128.37124,1659.74876,431.81,"ACTUAL"
26/10/2025 23:50,8.95,4490.84,3108.16862,1669.80138,450.35,"ACTUAL"
26/10/2025 23:55,8.95,4488.52,3072.93762,1748.97238,494.99,"ACTUAL"
27/10/2025 00:00,8.95,4473.42,3087.76,1754.15,520.87,"ACTUAL"
27/10/2025 00:05,5.76,4468.79,3023.73843,1808.39157,522.12,"ACTUAL"
27/10/2025 00:10,3.52006,4439.53,2971.66244,1861.28756,548.38,"ACTUAL"
27/10/2025 00:15,2.45006,4396.53,2862.81337,1970.42663,584.72,"ACTUAL"
27/10/2025 00:20,0.01006,4392.53,2793.58827,2057.69173,604.56,"ACTUAL"
27/10/2025 00:25,0.00011,4360.71,2703.9953,2066.0347,561.71,"ACTUAL"
27/10/2025 00:30,0.00006,4336.1,2640.00044,2103.17956,558.34,"ACTUAL"
27/10/2025 00:35,0.00011,4294.8,2583.00212,2117.27788,556.96,"ACTUAL"
27/10/2025 00:40,3.52006,4275.69,2535.3189,2195.3111,597.07,"ACTUAL"
27/10/2025 00:45,0.00011,4245.69,2504.99743,2192.54257,593.79,"ACTUAL"
27/10/2025 00:50,-1.3,4199.7,2504.99928,2154.50072,599.17,"ACTUAL"
27/10/2025 00:55,-6.5,4156.01,2504.99568,2112.06432,600.97,"ACTUAL"
27/10/2025 01:00,-6.49951,4138.57,2505.00472,2087.45528,593.24,"ACTUAL"
27/10/2025 01:05,-3.86,4109.65,2516.00222,2087.54778,632.07,"ACTUAL"
27/10/2025 01:10,-3.84,4078.1,2514.00043,2071.86957,642.88,"ACTUAL"
27/10/2025 01:15,0,4051.58,2509.99936,2088.26064,680.45,"ACTUAL"
27/10/2025 01:20,-6.49976,4072.4,2509.99575,2060.84425,638.71,"ACTUAL"
27/10/2025 01:25,-3.86,3991.47,2514.99937,2046.68063,699.88,"ACTUAL"
27/10/2025 01:30,0.00006,4019.91,2510.0002,2105.6298,723.83,"ACTUAL"
27/10/2025 01:35,0.00011,3990.54,2510.00483,2058.42517,706.84,"ACTUAL"
27/10/2025 01:40,0.01006,3991.52,2535.73091,2066.94909,737.51,"ACTUAL"
27/10/2025 01:45,0.26011,3979.54,2541.00408,2065.87592,753.59,"ACTUAL"
27/10/2025 01:50,0.26,3989.54,2541.0019,2060.2881,738.97,"ACTUAL"
27/10/2025 01:55,0.01006,3978.33,2534.39164,2080.02836,763.41,"ACTUAL"
27/10/2025 02:00,0.00006,3960.6,2510.0046,2096.1554,771.2,"ACTUAL"
27/10/2025 02:05,0.26,3939.98,2534.99509,2125.67491,844.15,"ACTUAL"
27/10/2025 02:10,0.00006,3933.44,2513.02894,2129.60106,833.55,"ACTUAL"
27/10/2025 02:15,0.00006,3923.5,2509.99853,2161.21147,873.68,"ACTUAL"
27/10/2025 02:20,0.00006,3897.29,2509.99626,2164.65374,902.3,"ACTUAL"
27/10/2025 02:25,0.00006,3913.72,2509.99666,2193.55334,912.68,"ACTUAL"
27/10/2025 02:30,0,3922.46,2510.00229,2178.44771,891.11,"ACTUAL"
27/10/2025 02:35,-6.5,3933.14,2509.99772,2177.77228,881.29,"ACTUAL"
27/10/2025 02:40,-6.5,3912.67,2509.99854,2203.52146,925.67,"ACTUAL"
27/10/2025 02:45,-6.5,3900.6,2510.00234,2212.94766,950.93,"ACTUAL"
27/10/2025 02:50,-6.49975,3889.46,2510.99721,2379.13279,1126.79,"ACTUAL"
27/10/2025 02:55,-6.5,3916.6,2509.99745,2365.35255,1085.84,"ACTUAL"
27/10/2025 03:00,-6.5,3908.54,2512.99531,2258.31469,993.32,"ACTUAL"
27/10/2025 03:05,-3.86,4130.95,2520.99699,2519.98301,1040.21,"ACTUAL"
27/10/2025 03:10,-6.49976,4165.03,2509.99754,2568.29246,1041.12,"ACTUAL"
27/10/2025 03:15,-6.5,4148.07,2527.99648,2512.55352,1020.96,"ACTUAL"
27/10/2025 03:20,-6.5,4026.82,2513.00418,2466.66582,1076.57,"ACTUAL"
27/10/2025 03:25,-6.5,4010.86,2522.00268,2496.46732,1132.81,"ACTUAL"
27/10/2025 03:30,-6.5,3969.26,2525.00481,2434.04519,1115.93,"ACTUAL"
27/10/2025 03:35,-7.95452,3987.9,2510.00008,2456.37992,1105.69,"ACTUAL"
27/10/2025 03:40,-7.9825,4011.61,2520.00004,2487.86996,1120.12,"ACTUAL"
27/10/2025 03:45,-7.92066,4045.64,2510.00068,2532.98932,1122.38,"ACTUAL"
27/10/2025 03:50,-6.5,3998.47,2526.0025,2533.1975,1184.58,"ACTUAL"
27/10/2025 03:55,-6.5,4037.57,2518.99776,2628.74224,1234.1,"ACTUAL"
27/10/2025 04:00,-7.81545,4043.23,2510.00483,2627.81517,1215.7,"ACTUAL"
27/10/2025 04:05,-9.1,4065.53,2516.00374,2601.73626,1173.75,"ACTUAL"
27/10/2025 04:10,-6.5,4184.02,2510.00076,2698.79924,1147.15,"ACTUAL"
27/10/2025 04:15,-6.5,4169.91,2520.99569,2548.17431,1024.03,"ACTUAL"
27/10/2025 04:20,-6.5,4190.83,2514.00095,2577.67905,1027.25,"ACTUAL"
27/10/2025 04:25,-6.5,4216.05,2525.9953,2631.5947,1067.66,"ACTUAL"
27/10/2025 04:30,-6.5,4236.9,2509.99928,2714.94072,1108.4,"ACTUAL"
